training_start_yr,training_last_yr,cds_code,school_status,latitude,longitude,district,enr2011,FRPMpct2011
,,"01611190111765","none",37.78181,-122.2861,"Alameda Unified",614,.6644951
,,"01611190119222","none",37.77634,-122.2822,"Alameda Unified",340,
,,"01611190122085","none",,,"Alameda Unified",554,.599278
,,"01611190130229","none",37.76427,-122.2481,"Alameda Unified",1868,.232334
,,"01611190130609","Online only",37.77364,-122.2903,"Alameda Unified",273,
,,"01611190130625","none",37.77863,-122.2879,"Alameda Unified",113,.6548672
,,"01611190132878","none",37.77364,-122.2903,"Alameda Unified",1033,.5285576
,,"01611196000004","none",37.77647,-122.2858,"Alameda Unified",,
,,"01611196090005","none",37.76221,-122.259,"Alameda Unified",477,.2914046
,,"01611196090013","none",37.76444,-122.2348,"Alameda Unified",416,.1201923
,,"01611196090021","none",37.75404,-122.238,"Alameda Unified",479,.1753653
,,"01611196090039","none",37.76901,-122.2616,"Alameda Unified",310,.2193548
,,"01611196090047","none",37.76971,-122.2508,"Alameda Unified",421,.5510689
,,"01611196090054","none",37.75182,-122.2321,"Alameda Unified",919,.1392818
,,"01611196090104","none",37.77232,-122.2722,"Alameda Unified",277,.6173285
,,"01611196090112","none",37.76304,-122.2619,"Alameda Unified",573,.539267
,,"01611196090120","none",37.7716,-122.2845,"Alameda Unified",364,.4615385
,,"01611196100374","none",37.74527,-122.2393,"Alameda Unified",594,.1144781
,,"01611196110779","none",37.739,-122.252,"Alameda Unified",484,.0661157
,,"01611270130450","none",37.89666,-122.2926,"Albany City Unified",1209,.1827957
,,"01611276090146","none",37.88983,-122.2952,"Albany City Unified",589,.1697793
,,"01611276090161","Online only",37.89782,-122.2953,"Albany City Unified",907,.2061742
,,"01611276095376","none",37.88856,-122.2882,"Albany City Unified",542,.0793358
,,"01611276116222","none",37.88754,-122.3009,"Albany City Unified",586,.2901024
,,"01611430122689","none",,,"Berkeley Unified",,
,,"01611430122697","none",,,"Berkeley Unified",,
,,"01611430131177","Online only",37.86894,-122.2712,"Berkeley Unified",3417,
