
MDT,Max TemperatureF,Mean TemperatureF,Min TemperatureF,Max Dew PointF,MeanDew PointF,Min DewpointF,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressureIn, Mean Sea Level PressureIn, Min Sea Level PressureIn, Max VisibilityMiles, Mean VisibilityMiles, Min VisibilityMiles, Max Wind SpeedMPH, Mean Wind SpeedMPH, Max Gust SpeedMPH,PrecipitationIn, CloudCover, Events, WindDirDegrees<br />
2008-9-1,84,70,55,55,47,41,88,48,23,29.93,29.65,29.50,,,,22,11,32,0.00,5,,148<br />
2008-9-2,62,53,44,43,38,32,76,56,42,30.26,30.17,29.98,7,7,7,17,10,20,0.00,5,,105<br />
2008-9-3,71,60,50,48,41,32,62,50,38,30.21,30.03,29.88,7,7,7,20,14,30,0.00,3,Thunderstorm,178<br />
2008-9-4,73,60,46,48,39,34,87,53,25,30.06,29.96,29.83,7,7,7,20,11,23,0.00,4,Rain-Thunderstorm,131<br />
2008-9-5,53,48,42,48,45,41,100,85,71,30.19,30.07,29.96,7,6,1,14,6,,0.00,6,,52<br />
2008-9-6,66,54,42,48,45,41,100,73,46,30.12,30.04,29.99,7,5,3,14,4,21,0.00,3,,127<br />
2008-9-7,78,62,46,50,45,39,87,62,26,30.16,30.00,29.84,7,7,7,31,9,38,0.00,4,,273<br />
2008-9-8,51,46,41,46,42,39,100,88,71,30.31,30.21,30.10,7,6,2,18,11,,0.02,8,Rain,66<br />
2008-9-9,84,63,42,50,40,27,93,57,12,30.18,29.91,29.76,7,7,7,21,6,,0.00,4,,203<br />
2008-9-10,77,64,51,50,42,37,72,50,24,29.82,29.76,29.70,,,,15,8,,0.00,4,,194<br />
2008-9-11,60,53,46,50,46,45,100,76,55,30.18,30.03,29.83,10,7,4,14,8,18,0.00,6,Rain,14<br />
2008-9-12,59,54,48,50,49,45,100,92,67,30.16,29.99,29.88,7,5,2,13,7,,0.25,7,Rain,319<br />
2008-9-13,73,60,46,48,40,36,93,55,25,30.29,29.98,29.87,7,7,5,22,10,30,0.07,2,Rain,22<br />
2008-9-14,60,53,46,46,43,39,93,74,52,30.31,30.24,30.17,7,7,7,9,6,,0.00,4,,87<br />
2008-9-15,73,60,46,45,40,32,82,54,23,30.33,30.27,30.22,,,,20,10,,0.00,1,,221<br />
2008-9-16,78,62,46,41,38,36,71,43,21,30.24,30.16,30.08,,,,14,8,,0.00,0,,152<br />
2008-9-17,80,66,51,43,40,34,67,43,18,30.12,30.06,29.99,7,7,7,15,8,,0.00,1,,177<br />
2008-9-18,77,64,51,43,40,36,62,45,22,30.05,30.02,29.97,7,7,7,16,8,,0.00,3,,197<br />
2008-9-19,75,62,50,43,41,37,67,48,25,30.10,30.07,30.03,7,7,7,15,7,,0.00,4,,238<br />
2008-9-20,77,64,50,52,43,39,88,53,26,30.16,30.02,29.92,7,7,7,23,9,29,0.02,3,Rain,183<br />
2008-9-21,77,64,51,50,46,41,82,57,31,29.96,29.88,29.81,7,7,7,13,9,28,0.00,5,,187<br />
2008-9-22,84,68,53,46,41,32,72,44,15,29.93,29.82,29.73,,,,18,11,28,0.00,4,,187<br />
2008-9-23,75,60,44,43,36,32,71,44,21,30.21,30.09,29.95,,,,22,12,24,0.00,2,,146<br />
2008-9-24,78,63,48,46,41,37,71,48,23,30.24,30.16,30.07,7,7,7,12,7,,0.00,1,,183<br />
2008-9-25,82,66,51,43,35,25,67,38,12,30.12,30.05,29.97,,,,14,8,,0.00,1,,185<br />
2008-9-26,86,70,53,41,35,30,48,32,13,30.24,30.05,29.97,7,7,7,16,9,32,0.00,3,Thunderstorm,180<br />
2008-9-27,75,62,48,50,43,41,76,55,31,30.23,30.15,30.07,7,7,7,13,7,,0.00,2,,227<br />
2008-9-28,82,72,57,41,34,30,55,28,15,30.22,30.13,30.06,,,,12,8,21,0.00,5,,325<br />
2008-9-29,75,60,46,43,39,36,71,52,29,30.37,30.27,30.16,,,,15,7,,0.00,1,,205<br />
2008-9-30,78,62,46,41,36,28,76,45,16,30.28,30.22,30.15,,,,10,7,,0.00,0,,188<br />
