
MST,Max TemperatureF,Mean TemperatureF,Min TemperatureF,Max Dew PointF,MeanDew PointF,Min DewpointF,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressureIn, Mean Sea Level PressureIn, Min Sea Level PressureIn, Max VisibilityMiles, Mean VisibilityMiles, Min VisibilityMiles, Max Wind SpeedMPH, Mean Wind SpeedMPH, Max Gust SpeedMPH,PrecipitationIn, CloudCover, Events, WindDirDegrees<br />
2010-2-1,46,34,23,18,11,5,80,46,21,30.03,29.92,29.85,7,7,7,15,8,,0.00,1,,265<br />
2010-2-2,48,36,23,18,13,7,64,46,20,30.04,29.97,29.91,,,,16,10,,0.00,4,,198<br />
2010-2-3,46,36,26,30,13,7,81,40,22,29.99,29.89,29.74,7,7,7,16,10,,0.00,6,,168<br />
2010-2-4,46,37,28,32,22,7,100,67,20,29.86,29.74,29.64,7,6,2,26,7,34,0.00,5,Snow,279<br />
2010-2-5,44,34,23,21,14,9,80,48,31,30.02,29.93,29.85,7,7,7,16,8,,0.00,5,,134<br />
2010-2-6,44,34,23,28,24,21,100,85,42,30.03,29.95,29.87,7,2,0,12,6,,0.00,5,Fog,281<br />
2010-2-7,28,26,23,28,26,23,100,100,93,29.97,29.93,29.87,7,4,2,10,6,,0.08,7,Snow,92<br />
2010-2-8,24,18,12,25,16,5,100,90,67,30.27,30.05,29.84,7,4,1,20,7,29,0.06,7,Snow,96<br />
2010-2-9,32,18,3,12,7,-4,86,67,41,30.29,30.17,30.04,7,7,7,8,5,,0.00,1,,146<br />
2010-2-10,42,26,10,18,12,7,92,60,29,30.09,29.96,29.86,,,,10,6,,0.00,3,,171<br />
2010-2-11,41,31,21,19,14,10,69,53,31,30.05,29.94,29.84,,,,12,7,,0.00,4,,137<br />
2010-2-12,42,32,21,19,16,12,86,51,31,30.02,29.94,29.87,,,,17,9,22,0.00,4,,250<br />
2010-2-13,46,37,28,28,17,12,100,48,27,30.07,29.94,29.85,7,7,7,18,9,,0.00,6,,305<br />
2010-2-14,24,17,10,19,11,3,100,77,54,30.47,30.35,30.11,10,5,1,21,11,29,0.06,4,Snow,351<br />
2010-2-15,32,20,8,12,5,0,79,55,34,30.43,30.36,30.30,7,7,7,10,7,,0.00,1,,150<br />
2010-2-16,39,26,12,16,10,5,73,54,28,30.37,30.27,30.12,,,,13,7,,0.00,1,,182<br />
2010-2-17,42,32,23,28,17,10,81,54,27,30.19,30.10,30.04,,,,9,7,,0.00,5,,174<br />
2010-2-18,39,30,21,32,25,19,100,85,56,30.10,29.98,29.86,7,2,0,20,10,,0.22,7,Snow,335<br />
2010-2-19,24,22,19,23,21,19,100,95,80,30.07,30.02,29.86,7,7,3,12,5,,0.04,8,Snow,42<br />
2010-2-20,26,24,21,25,22,21,100,98,86,29.98,29.90,29.76,7,5,1,12,4,,0.07,8,Snow,331<br />
2010-2-21,21,16,12,19,16,12,100,95,74,30.11,30.01,29.87,10,5,2,12,7,,0.06,8,Snow,23<br />
2010-2-22,23,14,6,18,10,3,100,83,58,30.21,30.09,29.87,10,6,4,9,4,,0.01,4,Snow,347<br />
2010-2-23,35,24,12,16,9,1,69,57,33,30.24,30.17,30.10,7,7,7,14,9,,0.00,1,,166<br />
2010-2-24,46,34,21,27,15,5,75,49,22,30.09,29.94,29.80,7,7,7,16,11,,0.00,5,,186<br />
2010-2-25,39,34,28,32,27,21,100,76,52,30.15,29.98,29.82,7,6,2,15,7,,0.02,8,Snow,33<br />
2010-2-26,42,33,24,28,21,14,100,69,33,30.25,30.19,30.11,7,7,7,12,5,,0.00,4,,184<br />
2010-2-27,50,37,24,23,17,9,80,50,19,30.11,29.94,29.77,7,7,7,17,8,,0.00,6,,178<br />
2010-2-28,37,32,26,32,28,21,100,94,64,30.09,29.86,29.72,10,8,2,14,7,,0.01,7,Snow,355<br />
