
CDT,Max TemperatureF,Mean TemperatureF,Min TemperatureF,Max Dew PointF,MeanDew PointF,Min DewpointF,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressureIn, Mean Sea Level PressureIn, Min Sea Level PressureIn, Max VisibilityMiles, Mean VisibilityMiles, Min VisibilityMiles, Max Wind SpeedMPH, Mean Wind SpeedMPH, Max Gust SpeedMPH,PrecipitationIn, CloudCover, Events, WindDirDegrees<br />
2009-4-1,57,37,17,19,13,5,80,44,17,29.71,29.67,29.60,10,10,10,14,5,20,0.00,0,,112<br />
2009-4-2,53,42,32,28,12,-8,87,37,8,29.82,29.77,29.72,10,10,2,21,14,28,0.00,4,Snow,20<br />
2009-4-3,62,44,26,27,18,9,69,39,16,29.76,29.72,29.64,10,10,10,25,8,36,0.00,0,,164<br />
2009-4-4,73,58,44,45,32,12,61,47,10,29.74,29.53,29.28,10,10,10,31,17,40,0.00,3,Rain-Thunderstorm,120<br />
2009-4-5,39,36,32,34,27,21,100,76,52,30.31,30.02,29.61,10,9,2,34,27,48,0.00,7,Rain-Snow,348<br />
2009-4-6,39,32,24,23,18,12,75,58,38,30.36,30.32,30.29,10,10,10,26,16,34,0.00,3,,340<br />
2009-4-7,66,40,14,25,18,10,93,57,18,30.29,30.07,29.85,10,10,10,18,7,28,0.00,0,,274<br />
2009-4-8,66,49,32,32,26,19,87,50,18,29.94,29.88,29.76,10,10,10,10,5,,0.00,0,,356<br />
2009-4-9,48,44,41,37,32,27,81,61,43,29.77,29.68,29.62,10,10,5,26,14,33,0.06,6,Rain-Thunderstorm,75<br />
2009-4-10,57,46,35,34,30,25,87,62,31,30.14,30.03,29.83,10,10,10,24,14,32,0.00,3,,11<br />
2009-4-11,60,43,26,32,29,23,93,59,31,30.25,30.18,30.08,10,10,7,16,4,23,0.00,0,,144<br />
2009-4-12,51,46,41,41,36,32,100,68,50,30.12,30.03,29.97,10,9,7,20,10,24,0.14,7,Rain,96<br />
2009-4-13,55,46,37,37,36,36,100,76,47,29.97,29.91,29.87,10,9,5,17,11,24,0.09,7,Rain,9<br />
2009-4-14,64,47,30,41,33,30,100,68,30,30.02,29.97,29.93,10,8,2,14,3,18,0.00,0,,125<br />
2009-4-15,68,57,46,43,40,37,81,59,37,30.09,30.03,29.99,10,10,10,25,13,31,0.00,3,Rain,134<br />
2009-4-16,71,60,48,46,43,39,82,56,35,30.17,30.12,30.04,10,10,10,25,15,32,0.03,4,Rain,131<br />
2009-4-17,64,57,50,45,44,39,82,63,40,30.23,30.17,30.09,10,10,7,16,8,18,0.00,4,,110<br />
2009-4-18,69,58,46,52,45,36,100,67,30,30.06,29.99,29.92,10,9,5,10,5,16,0.07,4,Rain-Thunderstorm,100<br />
2009-4-19,64,53,42,52,38,23,100,64,22,30.15,30.08,30.03,10,9,2,24,15,31,0.00,4,Rain-Thunderstorm,354<br />
2009-4-20,64,50,37,34,29,21,81,44,19,30.08,30.04,29.99,10,10,10,23,9,33,0.00,1,,323<br />
2009-4-21,77,56,35,36,29,21,75,45,18,30.07,29.99,29.83,10,10,10,22,6,30,0.00,1,,276<br />
2009-4-22,82,65,48,43,38,34,76,41,19,29.92,29.87,29.77,10,10,10,13,2,18,0.00,2,,163<br />
2009-4-23,87,68,50,55,48,43,88,51,21,29.78,29.73,29.65,10,10,10,16,7,24,0.00,0,,204<br />
2009-4-24,89,74,59,57,52,43,88,56,21,29.71,29.65,29.62,10,10,10,23,12,30,0.00,0,Thunderstorm,193<br />
2009-4-25,53,48,44,43,38,34,93,72,51,30.01,29.91,29.78,10,9,3,25,14,31,0.00,7,Rain,34<br />
2009-4-26,57,50,44,55,50,45,100,98,93,29.90,29.75,29.62,5,3,0,12,5,,0.31,8,Fog-Rain-Thunderstorm,39<br />
2009-4-27,51,46,41,50,39,36,94,73,58,30.24,30.08,29.88,10,10,10,17,12,26,0.01,7,,15<br />
2009-4-28,60,46,32,46,37,30,100,73,52,30.38,30.30,30.17,10,10,7,14,5,18,0.00,2,Rain,98<br />
2009-4-29,71,63,55,63,57,50,100,88,68,30.15,30.01,29.88,10,7,2,20,11,28,0.38,8,Rain-Thunderstorm,145<br />
2009-4-30,64,58,53,59,53,45,100,82,49,30.01,29.94,29.84,10,7,0,26,8,37,1.19,7,Fog-Rain-Thunderstorm,43<br />
