
CST,Max TemperatureF,Mean TemperatureF,Min TemperatureF,Max Dew PointF,MeanDew PointF,Min DewpointF,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressureIn, Mean Sea Level PressureIn, Min Sea Level PressureIn, Max VisibilityMiles, Mean VisibilityMiles, Min VisibilityMiles, Max Wind SpeedMPH, Mean Wind SpeedMPH, Max Gust SpeedMPH,PrecipitationIn, CloudCover, Events, WindDirDegrees<br />
2010-1-1,14,7,0,9,4,-4,90,83,71,30.55,30.46,30.38,10,7,4,14,3,21,0.00,4,Snow,27<br />
2010-1-2,78,38,-3,63,-2,-8,85,79,57,30.58,30.44,29.86,15,9,1,9,4,,0.00,6,Snow,115<br />
2010-1-3,73,39,5,66,5,2,86,83,78,30.47,30.39,29.87,10,7,3,14,5,,0.00,8,Snow,67<br />
2010-1-4,15,3,-9,11,0,-14,90,85,79,30.53,30.49,30.43,10,9,3,5,1,,0.00,5,Snow,343<br />
2010-1-5,17,9,1,14,10,-1,93,86,79,30.44,30.38,30.25,10,5,1,9,2,,0.00,7,,129<br />
2010-1-6,24,18,12,23,16,7,97,88,75,30.28,30.14,30.08,10,4,1,24,12,38,0.00,8,Snow,155<br />
2010-1-7,5,2,0,0,-4,-8,80,73,69,30.55,30.45,30.34,10,7,2,28,20,37,0.00,4,,327<br />
2010-1-8,5,0,-5,-3,-9,-13,75,70,67,30.60,30.56,30.51,10,10,3,16,11,24,0.00,0,,330<br />
2010-1-9,7,-3,-13,3,-8,-17,87,82,79,30.60,30.54,30.50,10,7,0,6,1,,0.00,3,Fog,215<br />
2010-1-10,30,16,3,23,9,-1,84,76,68,30.46,30.30,30.19,10,10,10,14,8,22,0.00,0,,221<br />
2010-1-11,31,28,24,29,25,21,97,88,79,30.45,30.34,30.23,10,9,2,12,6,16,0.00,3,,333<br />
2010-1-12,73,48,23,61,28,22,98,93,65,30.49,30.35,30.08,15,2,0,14,5,18,0.00,6,Fog,190<br />
2010-1-13,39,31,23,32,27,22,96,85,74,30.08,29.93,29.87,10,8,5,13,6,18,0.00,0,,206<br />
2010-1-14,37,30,24,32,29,24,98,88,79,30.21,30.09,29.93,10,9,4,12,4,,0.00,0,,332<br />
2010-1-15,36,28,19,32,25,18,99,92,78,30.31,30.25,30.20,10,7,3,5,1,,0.00,0,,253<br />
2010-1-16,39,30,21,34,28,21,98,92,81,30.19,30.07,29.94,7,4,2,10,3,,0.00,0,,206<br />
2010-1-17,80,50,21,63,29,21,100,92,54,29.99,29.86,29.82,15,5,0,15,2,23,0.00,1,Fog,291<br />
2010-1-18,31,30,28,31,30,29,100,99,99,29.95,29.92,29.88,2,1,0,8,4,,0.00,8,Fog,47<br />
2010-1-19,33,31,29,33,31,29,100,100,99,29.89,29.81,29.68,3,1,0,10,5,,0.00,8,Fog-Snow,97<br />
2010-1-20,35,34,32,34,33,32,100,98,93,29.65,29.59,29.54,7,4,0,8,5,,0.00,8,Fog-Snow,357<br />
2010-1-21,68,50,32,55,33,32,99,95,64,30.12,29.72,29.65,15,6,4,9,6,23,0.00,8,,31<br />
2010-1-22,39,34,31,37,33,31,100,98,92,29.80,29.65,29.46,7,2,0,20,11,25,0.00,8,Fog,135<br />
2010-1-23,47,42,36,43,40,33,95,89,76,29.47,29.34,29.27,10,9,3,30,18,40,0.00,4,Rain,205<br />
2010-1-24,34,30,26,30,24,21,88,74,59,29.63,29.59,29.55,10,10,10,25,12,34,0.00,4,,308<br />
2010-1-25,30,26,23,23,16,12,85,64,54,29.89,29.74,29.63,10,10,3,31,21,41,0.00,6,Snow,320<br />
2010-1-26,33,25,17,20,15,11,83,69,50,30.20,30.12,30.00,10,10,10,25,12,31,0.00,1,,312<br />
2010-1-27,32,27,22,23,21,17,91,73,56,30.29,30.13,30.04,10,10,10,18,8,25,0.00,1,,36<br />
2010-1-28,21,17,13,15,9,6,83,65,53,30.55,30.48,30.42,10,10,10,15,7,18,0.00,0,,23<br />
2010-1-29,28,21,14,9,7,3,77,60,35,30.44,30.31,30.20,10,10,10,12,7,,0.00,5,,79<br />
2010-1-30,37,24,11,23,15,9,88,70,50,30.20,30.16,30.11,10,10,10,10,3,,0.00,2,,211<br />
2010-1-31,34,24,14,21,18,13,93,78,54,30.24,30.19,30.12,10,8,5,12,4,,0.00,0,,60<br />
