
UTC,Max TemperatureF,Mean TemperatureF,Min TemperatureF,Max Dew PointF,MeanDew PointF,Min DewpointF,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressureIn, Mean Sea Level PressureIn, Min Sea Level PressureIn, Max VisibilityMiles, Mean VisibilityMiles, Min VisibilityMiles, Max Wind SpeedMPH, Mean Wind SpeedMPH, Max Gust SpeedMPH,PrecipitationIn, CloudCover, Events, WindDirDegrees<br />
2008-3-1,,,,,,,,,,,,,,,,,,,,,,<br />
2008-3-2,,,,,,,,,,,,,,,,,,,,,,<br />
2008-3-3,,,,,,,,,,,,,,,,,,,,,,<br />
2008-3-4,,,,,,,,,,,,,,,,,,,,,,<br />
2008-3-5,,,,,,,,,,,,,,,,,,,,,,<br />
2008-3-6,,,,,,,,,,,,,,,,,,,,,,<br />
2008-3-7,,,,,,,,,,,,,,,,,,,,,,<br />
2008-3-8,,,,,,,,,,,,,,,,,,,,,,<br />
2008-3-9,,,,,,,,,,,,,,,,,,,,,,<br />
2008-3-10,,,,,,,,,,,,,,,,,,,,,,<br />
2008-3-11,,,,,,,,,,,,,,,,,,,,,,<br />
2008-3-12,,,,,,,,,,,,,,,,,,,,,,<br />
2008-3-13,,,,,,,,,,,,,,,,,,,,,,<br />
2008-3-14,,,,,,,,,,,,,,,,,,,,,,<br />
2008-3-15,,,,,,,,,,,,,,,,,,,,,,<br />
2008-3-16,,,,,,,,,,,,,,,,,,,,,,<br />
2008-3-17,,,,,,,,,,,,,,,,,,,,,,<br />
2008-3-18,,,,,,,,,,,,,,,,,,,,,,<br />
2008-3-19,,,,,,,,,,,,,,,,,,,,,,<br />
2008-3-20,,,,,,,,,,,,,,,,,,,,,,<br />
2008-3-21,,,,,,,,,,,,,,,,,,,,,,<br />
2008-3-22,,,,,,,,,,,,,,,,,,,,,,<br />
2008-3-23,,,,,,,,,,,,,,,,,,,,,,<br />
2008-3-24,,,,,,,,,,,,,,,,,,,,,,<br />
2008-3-25,,,,,,,,,,,,,,,,,,,,,,<br />
2008-3-26,,,,,,,,,,,,,,,,,,,,,,<br />
2008-3-27,,,,,,,,,,,,,,,,,,,,,,<br />
2008-3-28,,,,,,,,,,,,,,,,,,,,,,<br />
2008-3-29,,,,,,,,,,,,,,,,,,,,,,<br />
2008-3-30,,,,,,,,,,,,,,,,,,,,,,<br />
2008-3-31,,,,,,,,,,,,,,,,,,,,,,<br />
